Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF14570,UBA-like domain,1,['YER068W'],,,,,,,,,,
PF14572,ML-like domain,5,"['YBL068W', 'YER099C', 'YHL011C', 'YKL181W', 'YOL061W']",,,['ribose phosphate diphosphokinase complex'],"['ATP binding', 'kinase activity', 'magnesium ion binding', 'metal ion binding', 'nucleotide binding', 'ribose phosphate diphosphokinase activity', 'transferase activity']","['5-phosphoribose 1-diphosphate biosynthetic process', 'cellular biosynthetic process', 'fungal-type cell wall organization', 'nucleoside metabolic process', 'nucleotide biosynthetic process', 'phosphorylation', 'purine nucleotide biosynthetic process', 'ribonucleoside monophosphate biosynthetic process']","['superpathway of histidine, purine, and pyrimidine biosynthesis']",['budding: decreased'],"['PRS4', 'PRS2', 'PRS3', 'SLT2', 'PRS1', 'RIM11', 'PRS5']",,['N-terminal domain of ribose phosphate pyrophosphokinase']
PF14580,Tetratricopeptide repeat,1,['YPL213W'],,,,,,,,,,
PF14602,Ubiquitin-like domain,1,['YJL218W'],,,,,,,,,,
PF14604,RING/Ubox like zinc-binding domain,2,"['YBL007C', 'YHR114W']",,,,,,,,"['AIM3', 'KTR3', 'LSB5', 'LDB17', 'MTH1', 'VPS73', 'CSE1', 'DIE2', 'UBP7', 'GMH1', 'SPO75', 'PER33', 'BOS1', 'VRP1', 'TGL3', 'APP1', 'INP53', 'BSP1', 'YMR253C']",,
PF14608,Phosphoribosyl synthetase-associated domain,1,['YGL122C'],,,,,,,,"['BI4', 'FUN14', 'POP5', 'BOL1', 'BOL3', 'BDH2', 'ADE1', 'PRM9', 'MST28', 'ECM15', 'YBL028C', 'MIN6', 'MOH1', 'CMC2', 'PRS4', 'SCS22', 'GPI18', 'RCR1', 'UGA2', 'GRX7', 'YBR016W', 'RKM3', 'PDX3', 'SCO1', 'CHS2', 'GIP1', 'REG2', 'YBR062C', 'NRG2', 'ALG14', 'RDH54', 'SLM4', 'MMS4', 'YSA1', 'CBP6', 'YBR137W', 'YBR138C', 'ARA1', 'TBS1', 'RIB7', 'YSY6', 'PEX32', 'GDT1', 'COS111', 'ERV15', 'SDS24', 'YBP1', 'MCX1', 'ROT2', 'ABD1', 'PRP5', 'ERT1', 'GPX2', 'DUT1', 'RCF3', 'RIB5', 'YPT10', 'MRPL37', 'PPS1', 'DPB3', 'MRPL27', 'RER1', 'MXR2', 'LSB5', 'MGR1', 'EMC1', 'KAR4', 'PRD1', 'MRPL32', 'YCP4', 'YCR007C', 'CWH43', 'PET18', 'MAK31', 'RHB1', 'RBK1', 'ATG15', 'TRX3', 'FIG2', 'YCR090C', 'CDC50', 'ADH7', 'GRX6', 'GPM2', 'GPR1', 'PUS9', 'BSC1', 'FAD1', 'COX9', 'MRK1', 'YDL085C-A', 'NDE2', 'NUR1', 'UBX3', 'BUG1', 'MSS2', 'YDL124W', 'HNT1', 'RPL41B', 'SRF1', 'RDI1', 'YDL144C', 'YDL157C', 'MHF2', 'UGA3', 'YDL199C', 'TRM8', 'RTN2', 'RRI1', 'DTD1', 'MFG1', 'YPD1', 'PHO13', 'GUD1', 'YDL241W', 'RAD57', 'RAD61', 'RAD28', 'LYS14', 'YDR034W-B', 'ARO3', 'BAP3', 'VMS1', 'DET1', 'PST1', 'YDR061W', 'AIM7', 'FMP16', 'SHU2', 'TVP23', 'AFR1', 'SPO71', 'TMS1', 'ARP10', 'MRX14', 'RGP1', 'MTQ2', 'CTH1', 'SSY1', 'ARG82', 'SDH4', 'SAS4', 'CAB5', 'RAV2', 'COQ4', 'SPR28', 'AMD2', 'TRS23', 'YDR248C', 'MET32', 'RMD5', 'CCC2', 'GLO2', 'HRQ1', 'SRP101', 'ATP5', 'PFU1', 'PIB1', 'RAD34', 'IPK1', 'OMS1', 'ASP1', 'TIM11', 'PEP7', 'IRC3', 'FCF1', 'KEI1', 'FRQ1', 'PHO92', 'ARH1', 'ATP17', 'SDH6', 'NCB2', 'HPT1', 'PDR15', 'ADE8', 'ARO80', 'CYM1', 'APT2', 'UGO1', 'SNM1', 'PHO8', 'MZM1', 'SDH7', 'GRX2', 'EUG1', 'FPR2', 'HSP31', 'PXP1', 'TIM9', 'URA3', 'YEF1', 'FRD1', 'AFG1', 'SOM1', 'HPA3', 'YEL077C', 'YND1', 'YER010C', 'HEM14', 'YAT2', 'KRE29', 'MXR1', 'ISD11', 'JHD1', 'PIC2', 'HMF1', 'ARG5,6', 'TDA2', 'UBP5', 'SPI1', 'ADK2', 'TMT1', 'FMP10', 'TOG1', 'MSH4', 'YPI1', 'SAD1', 'YFR006W', 'YFH7', 'IRC6', 'BNA6', 'YMR31', 'JAC1', 'GET1', 'RIM8', 'ALG13', 'TYW3', 'GEP7', 'MPC1', 'GUP1', 'MMS2', 'MF(ALPHA)2', 'NBP35', 'PAN2', 'GPG1', 'MET13', 'GPI10', 'LYS5', 'ARO8', 'NCS6', 'BOL2', 'NIF3', 'EDC1', 'OST5', 'TAN1', 'YGL242C', 'COS12', 'PEX31', 'PRP18', 'STF2', 'MCY1', 'POP6', 'NQM1', 'LST7', 'PEF1', 'ADE6', 'COX18', 'UPF3', 'MRPL25', 'ESP1', 'MDR1', 'PCP1', 'PEX4', 'SKN1', 'NAT2', 'GTO1', 'LSO2', 'MSM1', 'MVB12', 'CIR1', 'RTA1', 'CCH1', 'TOS2', 'AZR1', 'YGR237C', 'PEX21', 'CPD1', 'SOL4', 'NOP19', 'SLH1', 'CAB4', 'YGR283C', 'AIM17', 'GUT1', 'YHL044W', 'QCR10', 'MAS2', 'NEL1', 'PUT2', 'CPR2', 'FYV4', 'YHR078W', 'TRR2', 'COX23', 'CIA2', 'NDT80', 'ARP1', 'SPL2', 'YHR138C', 'TDA11', 'CTF8', 'NVJ1', 'AIM18', 'AIM46', 'PPX1', 'SET5', 'INP51', 'CMI7', 'CFD1', 'URM1', 'HIS6', 'EFM4', 'RCI37', 'CAB2', 'AVT7', 'YIL092W', 'FMC1', 'XBP1', 'RRT14', 'TMA108', 'TPM2', 'PAN6', 'YIL152W', 'COA1', 'MET28', 'INA22', 'DAL3', 'NRE1', 'IRC24', 'PET130', 'APS3', 'BET4', 'TAD2', 'GYP6', 'YHC3', 'TAX4', 'TOK1', 'LSB6', 'GSH1', 'MEF2', 'YJL107C', 'RPE1', 'NIT2', 'ROQ1', 'IDS2', 'HSP150', 'PIR5', 'SOP4', 'CBP1', 'REE1', 'VTH2', 'MHO1', 'YJR012C', 'BNA1', 'PET191', 'HUL4', 'VPS55', 'UTR1', 'YJR056C', 'APS2', 'YAE1', 'MOG1', 'STE18', 'YUH1', 'VPS25', 'IBA57', 'VPS70', 'XPT1', 'TIM8', 'MET5', 'HOM6', 'BAT2', 'THI11', 'MPH3', 'COS5', 'MET14', 'CCE1', 'IXR1', 'TTI1', 'NFU1', 'ANR2', 'MDM35', 'YKL063C', 'SRX1', 'CYT2', 'CUE2', 'YKL091C', 'CWP2', 'SEG2', 'KTI12', 'VPH2', 'SSH4', 'RMA1', 'RCI50', 'CMC1', 'SDH1', 'NNR2', 'MCD4', 'ACP1', 'MST1', 'LOS1', 'EMC3', 'SRY1', 'COS9', 'HEL1', 'YKR018C', 'VPS51', 'GMH1', 'KAE1', 'FMP46', 'GLG1', 'PAM17', 'YKR078W', 'OMA1', 'PCC1', 'VBA5', 'GEX2', 'LMO1', 'COX17', 'EMC6', 'SDH2', 'JLP1', 'YLR001C', 'PML1', 'SMF3', 'MLH2', 'RIC1', 'YLR046C', 'PER33', 'SPC3', 'RFU1', 'ALT1', 'LCL2', 'CCW12', 'RNH203', 'TAR1', 'UPS2', 'DPH5', 'YLR177W', 'UPS1', 'NMT1', 'PNP1', 'FRE1', 'COA4', 'UCC1', 'BUR2', 'ADY4', 'ECM22', 'TOP3', 'LIP2', 'MAP1', 'ERF2', 'BOP2', 'YCS4', 'PIG1', 'COQ11', 'YLR297W', 'ATG33', 'YLR363W-A', 'STP3', 'PSY3', 'CSR1', 'ECM19', 'COX8', 'SEI1', 'BLS1', 'PUN1', 'URA4', 'DCK1', 'ECM30', 'GMC2', 'YLR446W', 'YLR456W', 'GAB1', 'GLO1', 'RAD33', 'CYB2', 'PIF1', 'DAK1', 'BET5', 'CPR3', 'YML079W', 'ATP18', 'CUE4', 'YML131W', 'COS3', 'BUD22', 'SPO20', 'CSI1', 'YMR027W', 'SAM37', 'SDD2', 'PDL32', 'ATP25', 'MUB1', 'MGR3', 'NCW1', 'PKR1', 'GID8', 'IMP1', 'RIM13', 'MSS11', 'ALD3', 'EAR1', 'CTL1', 'ERG12', 'GAD1', 'COX7', 'PET111', 'PPA2', 'TMA23', 'CAT8', 'LIP1', 'DYN3', 'ADE4', 'GLC8', 'DIA1', 'SPO1', 'KSH1', 'YNL035C', 'NCE103', 'BOP3', 'VAC7', 'OCA2', 'RNH201', 'SAL1', 'OCA1', 'MIC27', 'MRP35', 'YNL134C', 'NSG2', 'ASI2', 'RIA1', 'FMP41', 'YNL194C', 'SLZ1', 'PPN2', 'ALG9', 'ATG4', 'PDR16', 'CRS1', 'MPA43', 'ATX1', 'LTO1', 'LYP1', 'GOR1', 'BOR1', 'CUS2', 'PUS4', 'MON2', 'TRF5', 'DAL82', 'PHA2', 'KRE1', 'FIG4', 'PFA3', 'SNO2', 'ATO2', 'SWM2', 'URK1', 'ALG12', 'PET494', 'MSO1', 'HOL1', 'BIO5', 'FRE4', 'YNR064C', 'PDR18', 'COS10', 'MDM12', 'TAT2', 'LDS2', 'GPM3', 'SDH5', 'DSC2', 'MHF1', 'HAL9', 'TPT1', 'MSB4', 'VPS68', 'YOL131W', 'GRE2', 'YOL159C-A', 'DFG16', 'CYC2', 'TOM6', 'TMC1', 'LPL1', 'SLD7', 'NRT1', 'YVC1', 'YOR097C', 'YOR111W', 'MDM32', 'SPP2', 'SLP1', 'DDP1', 'SWT1', 'YRM1', 'DCS2', 'PEX27', 'TOA1', 'LIP5', 'HIS3', 'AIM41', 'STE13', 'RCN2', 'YOR238W', 'NAT5', 'DSE3', 'PNT1', 'MOD5', 'RDL1', 'YOR289W', 'TIM18', 'BUD7', 'CPA1', 'RRG7', 'LDB19', 'YOR342C', 'REV1', 'PYK2', 'CIR2', 'PIP2', 'YOR385W', 'ULA1', 'AEP3', 'NCR1', 'ISM1', 'ARL3', 'KTR6', 'GRX5', 'CWC27', 'VPS28', 'BTS1', 'YDC1', 'GLR1', 'EEB1', 'PNG1', 'ATG21', 'MCO76', 'ATG5', 'RRD2', 'TRE1', 'CUP9', 'MF(ALPHA)1', 'COA2', 'RSA1', 'YPL199C', 'RKM1', 'PUS1', 'THI6', 'CET1', 'YAR1', 'YPL245W', 'CUB1', 'KEL3', 'PLC1', 'ATP15', 'AIM45', 'YPR015C', 'ATP20', 'AGC1', 'ERV2', 'FCY1', 'UBA3', 'ISA2', 'SPE3', 'LTP1', 'ASA1', 'RDS3', 'SYT1', 'NAT3', 'TOM5', 'TAZ1', 'YPR148C', 'CUR1', 'MET16', 'YPR172W', 'BET2', 'HDA3', 'AOS1', 'MLC2', 'HPA2', 'AI1', 'AI5_BETA', 'BI3', 'VAR1', 'Q0255', 'GIP4', 'GCV3', 'BDH1', 'GDH3', 'FLO1', 'YBL029W', 'SEF1', 'MRP21', 'MRX3', 'MIX23', 'COQ1', 'POA1', 'EDS1', 'FMP23', 'TSC3', 'YBR063C', 'YBR085C-A', 'YBR090C', 'OPY1', 'ADH5', 'DTR1', 'RIM2', 'MIN7', 'COQ21', 'SHM1', 'SDH8', 'YBR285W', 'APE3', 'MAL33', 'YCL001W-B', 'YCL002C', 'VMA9', 'YCL012C', 'HBN1', 'YCL048W-A', 'SRD1', 'MAK32', 'YCR023C', 'YCR024C-B', 'CTR86', 'EGO2', 'HMRA2', 'YCR101C', 'YCR102C', 'AAD3', 'RMD1', 'ATP16', 'DIA3', 'MRP10', 'STP4', 'KNH1', 'YDL109C', 'HEM25', 'RGT2', 'CRD1', 'UGX2', 'DLD1', 'IPF1', 'SNF3', 'MRPL11', 'HEM3', 'AIM6', 'AAD4', 'RCR2', 'YDR003W-A', 'YDR018C', 'MIX14', 'YDR034C-A', 'EMC10', 'TGL2', 'OCA6', 'IPT1', 'PET100', 'PDC2', 'COX26', 'ECM18', 'CWC15', 'CDC1', 'PLP1', 'UPS3', 'HST4', 'CBS2', 'CRF1', 'DIN7', 'MGP12', 'INM2', 'HIM1', 'YFT2', 'YDR341C', 'MOR1', 'YPR1', 'WIP1', 'COI1', 'YDR391C', 'DIT2', 'BNA7', 'PPM1', 'YDR444W', 'CMI8', 'RIB3', 'RSM28', 'RPL37B', 'EMI1', 'YDR524C-B', 'APA2', 'YRF1-1', 'GLC3', 'UTR4', 'YEL073C', 'PMI40', 'HIS1', 'PET117', 'RRT13', 'RGI1', 'YOS1', 'MRX1', 'YER079W', 'AIM11', 'RTT105', 'SPR6', 'YER121W', 'YER152C', 'GCG1', 'SLO1', 'FAU1', 'YER186C', 'AGX1', 'YFL041W-A', 'AQY3', 'DCV1', 'PES4', 'RPL29', 'DPC13', 'YGL082W', 'RMD9', 'YGL114W', 'YGL117W', 'MRM2', 'ARO2', 'AIM14', 'DSD1', 'SDT1', 'MTC3', 'EMC4', 'TAD1', 'PDE1', 'ZIP2', 'RMR1', 'MNT2', 'EFM5', 'UGA1', 'MTE1', 'RME1', 'MCO32', 'ROM1', 'YGR079W', 'GTF1', 'CLD1', 'YGR111W', 'YGR127W', 'VPS62', 'YGR161W-C', 'PEX35', 'YGR174W-A', 'XKS1', 'YGR201C', 'YGR210C', 'BNS1', 'SPG1', 'YGR240C-A', 'LSC2', 'SCW4', 'YHL012W', 'OTU2', 'MUP3', 'ECM34', 'MIP6', 'YSC83', 'ARG4', 'DAP2', 'RRF1', 'DOG2', 'YHR050W-A', 'CUP1-2', 'PPE1', 'HXT4', 'GEP4', 'IGO2', 'RPL42B', 'MRPL6', 'LAM1', 'ROF1', 'CRG1', 'YIL001W', 'DOT5', 'YIL014C-A', 'RGI2', 'YIL060W', 'AIM19', 'YIL089W', 'COX5B', 'HIS5', 'PRM5', 'ASG1', 'MCO8', 'AIM20', 'SOA1', 'CSS1', 'DJP1', 'YIR042C', 'COX16', 'IRC18', 'LOH1', 'YJL043W', 'SDH9', 'LOG1', 'MRPL49', 'MCO6', 'AIM23', 'YJL132W', 'DPI8', 'FMP33', 'YJL163C', 'TOH1', 'RBH1', 'ECM25', 'TMH11', 'AIM25', 'LIH1', 'PXP2', 'YJR112W-A', 'RSF2', 'MNS1', 'YJR142W', 'YJR149W', 'AAD10', 'MRP17', 'MCO12', 'URA6', 'GPX1', 'YKL033W-A', 'DPC7', 'YKL068W-A', 'DGR2', 'PGM1', 'MRPL31', 'ECM9', 'UIP5', 'YSR3', 'YKR070W', 'AIM29', 'ECM4', 'GAT3', 'MEU1', 'COX12', 'NFG1', 'OSW2', 'FYV7', 'XYL2', 'CSF1', 'MIM2', 'REX3', 'TML25', 'ZRT2', 'YLR146W-A', 'GID11', 'PCD1', 'YLR154C-G', 'YLR157W-E', 'ASP3-4', 'YLR161W', 'SHH4', 'QRI5', 'HMX1', 'MCP2', 'TMA7', 'YLR264C-A', 'PDR8', 'CMG1', 'ECI1', 'RPS30A', 'TMA10', 'YLR342W-A', 'YLR361C-A', 'RPS29A', 'CTR3', 'BER1', 'ECM7', 'MRPL39', 'AIM32', 'YML054C-A', 'TDA9', 'ATR1', 'NGL3', 'MSC1', 'AIM34', 'PLB1', 'ADI1', 'PEX9', 'IMP2', 'YET2', 'YMR090W', 'MTG1', 'SRT1', 'SPG4', 'YMR114C', 'DLT1', 'JLP2', 'YIM1', 'MRPS8', 'YMR160W', 'PAI3', 'SIP18', 'FPY1', 'YMR181C', 'RGM1', 'RTP1', 'YMR187C', 'CMC4', 'ICY1', 'YMR206W', 'YMR209C', 'ERG8', 'MRPL44', 'HOR7', 'YMR253C', 'YMR262W', 'URA10', 'MRPL33', 'IDP3', 'PBI2', 'GPI15', 'YNL058C', 'APJ1', 'SWS2', 'YNL115C', 'NRK1', 'FYV6', 'YSF3', 'YNL144C', 'YNL165W', 'MDG1', 'TDA7', 'YNL193W', 'MRX7', 'RRG9', 'HXT14', 'EGT2', 'LRO1', 'YNR021W', 'CPR8', 'EGO4', 'RSM19', 'AGA1', 'MNT4', 'BSC5', 'IZH2', 'CSI2', 'YOL013W-A', 'YOL014W', 'TSR4', 'OPI10', 'YOL038C-A', 'RRT8', 'GSH2', 'DDR2', 'AIM39', 'THI20', 'ARG1', 'ATP19', 'PHM7', 'TRM10', 'IZH4', 'MCH4', 'HPF1', 'IMA2', 'TSR3', 'YOR019W', 'MCO10', 'YOR062C', 'CDC21', 'DPI34', 'YOR131C', 'MRPL23', 'ATG40', 'ALE1', 'RPS30B', 'SPR1', 'THI72', 'MCT1', 'ODC2', 'MCP1', 'OSW1', 'FSH3', 'RDL2', 'YOR292C', 'UAF30', 'YOR296W', 'MUM3', 'SPS4', 'CIN1', 'LEE1', 'LCL1', 'YPL071C', 'ERI1', 'FMP30', 'DPC25', 'YPL113C', 'PRM4', 'UIP4', 'POS5', 'OXR1', 'YPL225W', 'USV1', 'HUT1', 'ATG41', 'YPL257W', 'MDL2', 'SAM4', 'ICL2', 'MIN8', 'YPR027C', 'MSF1', 'BRR1', 'YMC1', 'YPR063C', 'TMH18', 'MRPL51', 'GLD1', 'YPR127W', 'YPR145C-A', 'NCE102', 'MRP2', 'YPR170W-B']",,
PF14610,Leucine-rich repeat,1,['YKL077W'],,,,,,,,,,
PF14611,Hexapeptide repeat of succinyl-transferase,1,['YLR139C'],,,,,,,,,,
PF14615,Variant SH3 domain,1,['YLR221C'],,,,,,,,,,
PF14616,"RNA-binding, Nab2-type zinc finger",1,['YBR076W'],,,,,,,,,,
PF14617,Ykl077w/Psg1 (Pma1 Stabilization in Golgi),1,['YLR003C'],,,,,,,,,,
PF14619,Mitochondrial inner-membrane-bound regulator,2,"['YIL126W', 'YOR290C']",,,,['lysine-acetylated histone binding'],,,['protein/peptide distribution: decreased'],,,"['SNF2-related domain', 'Bromodomain']"
PF14622,Ribosome-assembly protein 3,1,['YLR312W-A'],,,,,,,,,,
PF14629,"Transcription regulator Rua1, C-terminal",1,['YPR162C'],,,,,,,,,,
PF14630,U3-containing 90S pre-ribosomal complex subunit,1,['YNL261W'],,,,,,,,,,
PF14632,"Snf2-ATP coupling, chromatin remodelling complex",1,['YGR116W'],,,,,,,,,,
PF14633,Ribonuclease-III-like,1,['YGR116W'],,,,,,,,,,
PF14634,Origin recognition complex (ORC) subunit 4 C-terminus,1,['YLR394W'],,,,,,,,,,
PF14635,Origin recognition complex (ORC) subunit 5 C-terminus,1,['YGR116W'],,,,,,,,,,
PF14639,Acidic N-terminal SPT6,1,['YGR116W'],,,,,,,,,,
PF14641,SH2 domain,1,['YGR116W'],,,,,,,,,,
PF14663,zinc-RING finger domain,1,['YER093C'],,,,,,,,,,
PF14664,Helix-hairpin-helix motif,1,['YER093C'],,,,,,,,,,
PF14666,Holliday-junction resolvase-like of SPT6,1,['YER093C'],,,,,,,,,,
PF14668,Helix-turn-helix DNA-binding domain of SPT6,1,['YER093C'],,,,,,,,,,
PF14671,Rapamycin-insensitive companion of mTOR RasGEF_N domain,1,['YFR028C'],,,,,,,,,,
PF14681,"Rapamycin-insensitive companion of mTOR, N-term",2,"['YHR128W', 'YNR012W']",,,,,"['UMP salvage', 'nucleoside metabolic process', 'pyrimidine-containing compound salvage']",['salvage pathways of pyrimidine ribonucleotides'],,,,
PF14691,"Rapamycin-insensitive companion of mTOR, middle domain",1,['YDL171C'],,,,,,,,,,
PF14698,"Rapamycin-insensitive companion of mTOR, domain 5",1,['YHR018C'],,,,,,,,,,
PF14699,"Dual specificity protein phosphatase, N-terminal half",1,['YPR184W'],,,,,,,,,,
PF14700,Uracil phosphoribosyltransferase,1,['YFL036W'],,,,,,,,,,
PF14701,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster",1,['YPR184W'],,,,,,,,,,
PF14702,Argininosuccinate lyase C-terminal,1,['YPR184W'],,,,,,,,,,
PF14703,N-terminal domain from the human glycogen debranching enzyme,3,"['YLR241W', 'YMR266W', 'YOL084W']",,,,['calcium activated cation channel activity'],"['cation transmembrane transport', 'ion transmembrane transport', 'ion transport']",,,,,"['Calcium-dependent channel, 7TM region, putative phosphate', 'Extracellular tail, of 10TM putative phosphate transporter', 'Late exocytosis, associated with Golgi transport']"
PF14716,DNA-directed RNA polymerase N-terminal,1,['YCR014C'],,,,,,,,,,
PF14748,"Glycogen debranching enzyme, glucanotransferase domain",1,['YER023W'],,,,,,,,,,
PF14749,Central domain of human glycogen debranching enzyme,1,['YGL205W'],,,,,,,,,,
PF14791,Cytosolic domain of 10TM putative phosphate transporter,1,['YCR014C'],,,,,,,,,,
PF14792,Helix-hairpin-helix domain,1,['YCR014C'],,,,,,,,,,
PF14806,Pyrroline-5-carboxylate reductase dimerisation,1,['YDR238C'],,,,,,,,,,
PF14821,Acyl-coenzyme A oxidase N-terminal,1,['YCR053W'],,,,,,,,,,
PF14823,DNA polymerase beta thumb,1,['YBR213W'],,,,,,,,,,
PF14824,DNA polymerase beta palm,1,['YBR213W'],,,,,,,,,,
PF14826,Coatomer beta subunit appendage platform,1,['YGL207W'],,,,,,,,,,
PF14831,Threonine synthase N terminus,1,['YKL047W'],,,,,,,,,,
PF14844,Sirohaem biosynthesis protein C-terminal,1,['YCR032W'],,,,,,,,,,
PF14847,Sirohaem biosynthesis protein central,1,['YLR362W'],,,,,,,,,,
PF14852,FACT complex subunit SPT16 N-terminal lobe domain,1,['YIL065C'],,,,,,,,,,
PF14853,Domain of unknown function (DUF4484),1,['YIL065C'],,,,,,,,,,
PF14876,PH domain associated with Beige/BEACH,1,['YMR030W'],,,,,,,,,,
PF14877,Ras-binding domain of Byr2,1,['YJL131C'],,,,,,,,,,
PF14880,Fis1 N-terminal tetratricopeptide repeat,1,['YML129C'],,,,,,,,,,
PF14881,Fis1 C-terminal tetratricopeptide repeat,1,['YMR211W'],,,,,,,,,,
PF14938,Respiratory growth transcriptional regulator,1,['YBL050W'],,,,,,,,,,
PF15044,Mitochondrial translation initiation factor,1,['YMR012W'],,,,,,,,,,
PF15227,Cytochrome oxidase c assembly,1,['YOL054W'],,,,,,,,,,
PF15251,Tubulin domain,1,['YJR056C'],,,,,,,,,,
PF15271,"Soluble NSF attachment protein, SNAP",1,['YPL255W'],,,,,,,,,,
PF15272,"Mitochondrial function, CLU-N-term",1,['YPL255W'],,,,,,,,,,
PF15277,"zinc finger of C3HC4-type, RING",1,['YER008C'],,,,,,,,,,
PF15288,Domain of unknown function (DUF4588),1,['YGR274C'],,,,,,,,,,
PF15341,"Spindle pole body component BBP1, Mps2-binding protein",1,['YGR081C'],,,,,,,,,,
PF15404,"Spindle pole body component BBP1, C-terminal",1,['YDR104C'],,,,,,,,,,
PF15405,Exocyst complex component SEC3 N-terminal PIP2 binding PH,2,"['YGR070W', 'YLR371W']",,,,,,,,,,"['RhoGEF domain', 'CNH domain']"
PF15407,Zinc knuckle,1,['YDR104C'],,,,,,,,,,
PF15409,Ribosome biogenesis protein SLX9,1,['YHR073W'],,,,,,,,,,
PF15411,Pleckstrin homology domain,1,['YAL041W'],,,,,,,,,,
PF15412,Pleckstrin homology domain,1,['YDL105W'],,,,,,,,,,
PF15454,Sporulation protein family 7,1,['YKR007W'],,,,,,,,,,
PF15458,Pleckstrin homology domain,1,['YKR022C'],,,,,,,,,,
PF15459,Pleckstrin homology domain,1,['YKL082C'],,,,,,,,,,
PF15460,Binding domain of Nse4/EID3 to Nse3-MAGE,1,['YDR181C'],,,,,,,,,,
PF15463,Late endosomal/lysosomal adaptor and MAPK and MTOR activator,1,['YDR446W'],,,,,,,,,,
PF15469,Nineteen complex-related protein 2,1,['YDR166C'],,,,,,,,,,
